title,category,slug,noc_code,median_pay_annual,median_pay_hourly,entry_education,num_jobs_2023,projected_job_openings_2033,outlook_pct,outlook_desc,future_lmc,recent_lmc,url
Kindergarten and preschool teachers,Education and research occupations,kindergarten-and-preschool-teachers,2342,100000,48,University degree,30000,14000,7,Good,Good,Good,
Special education teachers,Education and research occupations,special-education-teachers,2352,120000,58,University degree,20000,9000,8,Good,Very good,Good,
Civil and structural engineers,Engineering and science occupations,civil-and-structural-engineers,2142,220000,106,University degree,25000,12000,7,Good,Good,Good,
Electrical and electronics engineers,Engineering and science occupations,electrical-and-electronics-engineers,2151,240000,115,University degree,30000,15000,8,Good,Good,Good,
Mechanical engineers,Engineering and science occupations,mechanical-engineers,2144,210000,101,University degree,20000,9000,5,Good,Balance,Balance,
Chemical and process engineers,Engineering and science occupations,chemical-and-process-engineers,2145,230000,111,University degree,10000,4500,3,Balance,Balance,Balance,
Aerospace and defense engineers,Engineering and science occupations,aerospace-and-defense-engineers,2146,280000,135,University degree,15000,7000,5,Good,Good,Good,
Environmental scientists and engineers,Engineering and science occupations,environmental-scientists-and-engineers,2132,180000,87,University degree,5000,2500,5,Good,Good,Balance,
Architects,Engineering and science occupations,architects,2161,200000,96,University degree,10000,4500,6,Good,Good,Balance,
Biologists and biomedical researchers,Engineering and science occupations,biologists-and-biomedical-researchers,2131,200000,96,University degree,10000,5000,7,Good,Very good,Good,
Management consultants,Business and social professions,management-consultants,2421,260000,125,University degree,12000,6000,5,Good,Good,Balance,
Economists,Business and social professions,economists,2631,220000,106,University degree,8000,3500,3,Balance,Balance,Balance,
Social workers,Business and social professions,social-workers,2635,120000,58,University degree,25000,12000,8,Good,Very good,Good,
Journalists and media professionals,Business and social professions,journalists-and-media-professionals,2642,140000,67,University degree,8000,3000,-3,Limited,Limited,Balance,
Graphic designers and visual artists,Business and social professions,graphic-designers-and-visual-artists,2652,150000,72,University degree,15000,6000,2,Balance,Balance,Balance,
Marketing and advertising professionals,Business and social professions,marketing-and-advertising-professionals,2431,180000,87,University degree,20000,9000,3,Balance,Balance,Good,
IT support technicians,Technical and associate occupations,it-support-technicians,3511,140000,67,College diploma or apprenticeship (2+ years),30000,13000,7,Good,Good,Good,
Network and systems administrators,Technical and associate occupations,network-and-systems-administrators,3512,160000,77,College diploma or apprenticeship (2+ years),15000,7000,8,Good,Good,Good,
Medical laboratory technicians,Technical and associate occupations,medical-laboratory-technicians,3212,140000,67,College diploma or apprenticeship (2+ years),15000,7000,7,Good,Good,Good,
Radiographers and imaging technicians,Technical and associate occupations,radiographers-and-imaging-technicians,3211,160000,77,College diploma or apprenticeship (2+ years),5000,2500,7,Good,Good,Good,
Paramedics and emergency medical technicians,Technical and associate occupations,paramedics-and-emergency-medical-technicians,3258,130000,63,College diploma or apprenticeship (2+ years),12000,6000,8,Good,Good,Good,
Legal assistants and paralegals,Technical and associate occupations,legal-assistants-and-paralegals,3411,120000,58,College diploma or apprenticeship (2+ years),15000,6000,3,Balance,Balance,Balance,
Accounting and bookkeeping technicians,Technical and associate occupations,accounting-and-bookkeeping-technicians,3313,120000,58,College diploma or apprenticeship (2+ years),30000,12000,1,Balance,Balance,Balance,
Real estate agents and brokers,Technical and associate occupations,real-estate-agents-and-brokers,3334,130000,63,Secondary school diploma,40000,18000,5,Good,Good,Balance,
Insurance agents and brokers,Technical and associate occupations,insurance-agents-and-brokers,3321,140000,67,College diploma or apprenticeship (2+ years),20000,8000,2,Balance,Balance,Balance,
Electronics and electrical technicians,Technical and associate occupations,electronics-and-electrical-technicians,3114,150000,72,College diploma or apprenticeship (2+ years),20000,9000,5,Good,Balance,Good,
Quality control and safety inspectors,Technical and associate occupations,quality-control-and-safety-inspectors,3119,140000,67,College diploma or apprenticeship (2+ years),15000,6500,4,Balance,Balance,Balance,
Executive secretaries and administrative assistants,Administrative and clerical occupations,executive-secretaries-and-administrative-assistants,3343,100000,48,Secondary school diploma,50000,20000,-1,Balance,Balance,Balance,
Office clerks and general administrators,Administrative and clerical occupations,office-clerks-and-general-administrators,4110,88000,42,Secondary school diploma,70000,28000,-2,Balance,Limited,Balance,
Call center and customer service operators,Administrative and clerical occupations,call-center-and-customer-service-operators,4221,80000,38,Secondary school diploma,40000,15000,-2,Balance,Limited,Balance,
Data entry and records clerks,Administrative and clerical occupations,data-entry-and-records-clerks,4132,78000,38,Secondary school diploma,20000,7000,-5,Limited,Limited,Limited,
Bank tellers and financial clerks,Administrative and clerical occupations,bank-tellers-and-financial-clerks,4211,95000,46,Secondary school diploma,15000,5000,-5,Limited,Limited,Limited,
Receptionists and front desk clerks,Administrative and clerical occupations,receptionists-and-front-desk-clerks,4226,78000,38,Secondary school diploma,25000,10000,-1,Balance,Balance,Balance,
Postal and courier service workers,Administrative and clerical occupations,postal-and-courier-service-workers,4412,85000,41,Secondary school diploma,10000,3500,-3,Limited,Limited,Balance,
Payroll and HR clerks,Administrative and clerical occupations,payroll-and-hr-clerks,4411,90000,43,Secondary school diploma,15000,6000,-1,Balance,Balance,Balance,
Retail salespersons,Service and sales occupations,retail-salespersons,5223,72000,35,Secondary school diploma,150000,60000,1,Balance,Balance,Balance,
Cashiers and checkout operators,Service and sales occupations,cashiers-and-checkout-operators,5230,68000,33,Short-term work demonstration,50000,15000,-5,Limited,Limited,Balance,
Chefs and head cooks,Service and sales occupations,chefs-and-head-cooks,3434,90000,43,College diploma or apprenticeship (<2 years),40000,18000,3,Balance,Good,Balance,
Waiters and food service workers,Service and sales occupations,waiters-and-food-service-workers,5131,65000,31,Short-term work demonstration,60000,25000,1,Balance,Balance,Balance,
Hairdressers and beauticians,Service and sales occupations,hairdressers-and-beauticians,5141,80000,38,College diploma or apprenticeship (<2 years),25000,10000,2,Balance,Balance,Balance,
Security guards and private detectives,Service and sales occupations,security-guards-and-private-detectives,5414,78000,38,Secondary school diploma,70000,28000,2,Balance,Balance,Balance,
Childcare workers and nannies,Service and sales occupations,childcare-workers-and-nannies,5311,75000,36,College diploma or apprenticeship (<2 years),30000,14000,5,Good,Good,Good,
Elderly and personal care workers,Service and sales occupations,elderly-and-personal-care-workers,5321,72000,35,College diploma or apprenticeship (<2 years),40000,22000,8,Good,Very good,Good,
Taxi and ride-sharing drivers,Service and sales occupations,taxi-and-ride-sharing-drivers,8322,84000,40,Secondary school diploma,30000,10000,-2,Balance,Limited,Balance,
Travel agents and tour operators,Service and sales occupations,travel-agents-and-tour-operators,4121,88000,42,Secondary school diploma,8000,3000,2,Balance,Balance,Balance,
Fitness and sports instructors,Service and sales occupations,fitness-and-sports-instructors,3422,78000,38,College diploma or apprenticeship (<2 years),15000,7000,5,Good,Good,Balance,
Hotel and accommodation staff,Service and sales occupations,hotel-and-accommodation-staff,5151,75000,36,Secondary school diploma,10000,4000,3,Balance,Good,Balance,
Butchers and food preparation workers,Service and sales occupations,butchers-and-food-preparation-workers,7511,80000,38,College diploma or apprenticeship (<2 years),15000,6000,1,Balance,Balance,Balance,
Crop farmers and agricultural producers,Agricultural occupations,crop-farmers-and-agricultural-producers,6111,72000,35,Secondary school diploma,20000,8000,-2,Balance,Balance,Balance,
Livestock and dairy farmers,Agricultural occupations,livestock-and-dairy-farmers,6121,75000,36,Secondary school diploma,8000,3200,-1,Balance,Balance,Balance,
Nursery and greenhouse workers,Agricultural occupations,nursery-and-greenhouse-workers,6113,65000,31,Short-term work demonstration,15000,5500,1,Balance,Balance,Balance,
Aquaculture and fish farming workers,Agricultural occupations,aquaculture-and-fish-farming-workers,6221,72000,35,College diploma or apprenticeship (<2 years),3000,1200,2,Balance,Balance,Balance,
Electricians and wiring technicians,Craft and trade occupations,electricians-and-wiring-technicians,7411,130000,63,College diploma or apprenticeship (<2 years),50000,22000,7,Good,Good,Good,
Plumbers and pipe fitters,Craft and trade occupations,plumbers-and-pipe-fitters,7126,115000,55,College diploma or apprenticeship (<2 years),30000,13000,5,Good,Good,Good,
Carpenters and cabinetmakers,Craft and trade occupations,carpenters-and-cabinetmakers,7115,110000,53,College diploma or apprenticeship (<2 years),25000,10000,3,Balance,Balance,Balance,
Masons and tile layers,Craft and trade occupations,masons-and-tile-layers,7112,105000,51,Short-term work demonstration,30000,13000,6,Good,Good,Balance,
Welders and metalworkers,Craft and trade occupations,welders-and-metalworkers,7212,115000,55,College diploma or apprenticeship (<2 years),20000,8000,2,Balance,Balance,Balance,
Automobile mechanics and repairers,Craft and trade occupations,automobile-mechanics-and-repairers,7231,110000,53,College diploma or apprenticeship (<2 years),25000,10000,2,Balance,Balance,Balance,
Painters and decorators,Craft and trade occupations,painters-and-decorators,7131,100000,48,Short-term work demonstration,20000,8000,3,Balance,Good,Balance,
HVAC and refrigeration technicians,Craft and trade occupations,hvac-and-refrigeration-technicians,7127,120000,58,College diploma or apprenticeship (<2 years),15000,7000,5,Good,Good,Good,
Diamond and jewelry workers,Craft and trade occupations,diamond-and-jewelry-workers,7313,120000,58,College diploma or apprenticeship (<2 years),5000,1800,-3,Limited,Limited,Balance,
Tailors and garment workers,Craft and trade occupations,tailors-and-garment-workers,7531,80000,38,College diploma or apprenticeship (<2 years),10000,3500,-3,Limited,Limited,Limited,
Bus and urban transit drivers,Plant and machine operator occupations,bus-and-urban-transit-drivers,8331,110000,53,Secondary school diploma,20000,8000,3,Balance,Balance,Balance,
Truck and heavy vehicle drivers,Plant and machine operator occupations,truck-and-heavy-vehicle-drivers,8332,105000,51,Secondary school diploma,50000,20000,2,Balance,Balance,Balance,
Manufacturing machine operators,Plant and machine operator occupations,manufacturing-machine-operators,8189,90000,43,College diploma or apprenticeship (<2 years),40000,15000,-2,Balance,Limited,Balance,
Assembly line and production workers,Plant and machine operator occupations,assembly-line-and-production-workers,8122,80000,38,Short-term work demonstration,30000,11000,-3,Limited,Limited,Balance,
Construction equipment operators,Plant and machine operator occupations,construction-equipment-operators,8342,115000,55,College diploma or apprenticeship (<2 years),20000,10000,7,Good,Good,Good,
Food and beverage processing workers,Plant and machine operator occupations,food-and-beverage-processing-workers,8160,78000,38,Short-term work demonstration,25000,9000,-1,Balance,Balance,Balance,
Pharmaceutical production workers,Plant and machine operator occupations,pharmaceutical-production-workers,8131,100000,48,College diploma or apprenticeship (<2 years),15000,7000,5,Good,Good,Good,
Printing and publishing machine operators,Plant and machine operator occupations,printing-and-publishing-machine-operators,8141,88000,42,College diploma or apprenticeship (<2 years),8000,2800,-5,Limited,Limited,Limited,
Building and office cleaners,Elementary occupations,building-and-office-cleaners,9112,67000,32,Short-term work demonstration,80000,32000,2,Balance,Balance,Balance,
Construction laborers and helpers,Elementary occupations,construction-laborers-and-helpers,9313,68000,33,Short-term work demonstration,60000,28000,6,Good,Good,Good,
Agricultural laborers,Elementary occupations,agricultural-laborers,9211,60000,29,Short-term work demonstration,40000,15000,-2,Balance,Balance,Balance,
Kitchen helpers and dishwashers,Elementary occupations,kitchen-helpers-and-dishwashers,9412,62000,30,Short-term work demonstration,25000,10000,1,Balance,Balance,Balance,
Freight handlers and warehouse workers,Elementary occupations,freight-handlers-and-warehouse-workers,9333,70000,34,Short-term work demonstration,30000,12000,2,Balance,Balance,Balance,
Refuse collectors and recycling workers,Elementary occupations,refuse-collectors-and-recycling-workers,9121,72000,35,Short-term work demonstration,12000,5000,3,Balance,Balance,Balance,
Delivery couriers and messengers,Elementary occupations,delivery-couriers-and-messengers,9321,72000,35,Secondary school diploma,25000,10000,2,Balance,Good,Balance,
